    455 	
    155 de	la
    123 	il
    115 	«
    104 »	
     94 	et
     88 dit	candide
     86 	mais
     84 à	la
     82 	je
     79 	↑
     77 	—
     74 et	de
     71 dans	le
     49 tous	les
     49 candide	
     48 la	vieille
     47 	candide
     46 	le
     45 et	le
     42 je	ne
     42 et	les
     41 il	y
     41 candide	et
     41 	on
     40 dans	la
     40 	dit
     38 mlle	cunégonde
     38 dans	un
     37 que	je
     37 je	suis
     36 de	son
     36 ce	qui
     35 sur	le
     34 que	vous
     34 le	plus
     34 et	la
     33 que	les
     32 que	le
     32 je	vous
     32 il	est
     32 et	qui
     32 dit	martin
     32 de	ce
     32 	la
     32 	elle
     31 et	je
     31 	les
     30 lui	dit
     30 les	deux
     30 je	me
     30 ce	qu’il
     30 	chapitre
     29 un	peu
     29 	ce
     28 «	je
     28 y	a
     28 martin	
     28 le	baron
     28 ce	que
     28 	»
     27 tout	ce
     27 sur	la
     27 cunégonde	
     25 —	je
     25 et	des
     25 dit	le
     25 	vous
     25 	c’est
     24 à	venise
     24 de	candide
     24 dans	les
     24 	car
     23 à	un
     23 je	fus
     23 il	faut
     23 	j’ai
     22 voyez	tome
     22 plus	de
     22 et	que
     21 que	tout
     21 il	n’y
     21 il	ne
     21 dit	
     21 candide	—
     21 	ils
     20 toutes	les
     19 vous	avez
     19 sur	les
     19 que	ce
     19 peu	de
     19 mon	cher
     19 la	terre
     19 il	me
     19 de	tout
     19 dans	une
     19 ah	
     18 que	la
     18 les	autres
     18 le	roi
     18 je	n’ai
     18 hélas	
     18 et	martin
     18 et	il
     17 —	il
     17 y	avait
     17 tout	le
     17 pangloss	
     17 mais	il
     17 du	monde
     17 de	vous
     17 de	sa
     16 »	candide
     16 un	grand
     16 par	les
     16 par	le
     16 on	ne
     16 monsieur	le
     16 le	monde
     16 la	ville
     16 la	première
     16 de	mon
     16 de	ces
     16 c’est	un
     16 coups	de
     15 —	oui
     15 à	son
     15 à	candide
     15 «	vous
     15 tout	est
     15 si	vous
     15 qui	ne
     15 qui	avait
     15 que	nous
     15 nous	avons
     15 me	fit
     15 mais	je
     15 le	vaisseau
     15 le	chapitre
     15 et	dans
     15 est	bien
     15 dit	cacambo
     15 de	leurs
     15 bien	
     14 —	c’est
     14 qu’il	y
     14 qui	était
     14 pour	le
     14 ne	se
     14 les	hommes
     14 il	était
     14 il	se
     14 et	vous
     14 et	un
     14 dit	la
     14 de	ses
     14 de	plus
     14 de	louis
     14 bout	de
     14 au	bout
     13 ↑	voyez
     13 »	dit
     13 un	homme
     13 toute	la
     13 siècle	de
     13 sans	doute
     13 révérend	père
     13 que	j’ai
     13 pour	moi
     13 n’y	a
     13 n’est	pas
     13 ne	pouvait
     13 ma	mère
     13 les	bulgares
     13 j’ai	été
     13 ils	se
     13 il	avait
     13 et	nous
     13 de	quoi
     13 de	deux
     13 dans	ce
     13 ces	deux
     13 cacambo	
     13 	voyez
     12 à	constantinople
     12 un	autre
     12 si	je
     12 qu’il	avait
     12 qui	se
     12 qui	lui
     12 qui	est
     12 que	de
     12 pour	la
     12 pas	de
     12 ne	le
     12 la	guerre
     12 et	on
     12 du	siècle
     12 dans	cette
     12 candide	en
     12 avait	été
     12 	un
     12 	nous
     12 	monsieur
     12 	c’était
     12 	comment
     11 —	vous
     11 —	mais
     11 à	table
     11 vous	ne
     11 tant	de
     11 quoi	
     11 qui	me
     11 qui	le
     11 qui	a
     11 que	candide
     11 pour	les
     11 pas	un
     11 nous	sommes
     11 monde	
     11 mon	père
     11 mille	piastres
     11 louis	xv
     11 les	yeux
     11 le	gouverneur
     11 la	plus
     11 la	mort
     11 la	mer
     11 la	dame
     11 la	belle
     11 je	vais
     11 homme	qui
     11 et	à
     11 et	candide
     11 du	pays
     11 deux	filles
     11 de	thundertentronckh
     11 de	cunégonde
     11 de	cette
     11 cunégonde	et
     11 château	de
     11 belle	cunégonde
     11 avec	une
     11 avec	un
     11 	si
     11 	disait
     10 «	il
     10 vous	êtes
     10 venise	
     10 tome	xv
     10 se	mit
     10 qu’on	ne
     10 qu’il	ne
     10 précis	du
     10 point	de
     10 personne	ne
     10 on	lui
     10 n’était	pas
     10 moi	
     10 meilleur	des
     10 lui	donna
     10 la	tête
     10 la	nature
     10 la	maison
     10 la	main
     10 et	en
     10 dit	pangloss
     10 de	temps
     10 dans	son
     10 dans	des
     10 c’était	un
     10 c’est	une
     10 comme	un
     10 chez	le
     10 candide	qui
     10 candide	ne
     10 auprès	de
     10 au	milieu
     10 	mon
     10 	en
     10 	après
      9 —	ah
      9 à	qui
      9 à	martin
      9 à	leur
